,precision,recall,f1-score,support
flat,0.0,0.0,0.0,4.0
loss,0.0,0.0,0.0,10.0
profit,0.85,0.8292682926829268,0.8395061728395061,82.0
accuracy,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334
macro avg,0.2833333333333333,0.2764227642276423,0.27983539094650206,96.0
weighted avg,0.7260416666666667,0.7083333333333334,0.7170781893004116,96.0
