sentiment_group,consistency_segment,trades,total_pnl,win_rate,avg_trade_size,directional_long_share
Fear,Inconsistent,18747,869921.496531,0.39030244839174266,9065.443194111058,0.3221848829145997
Fear,Consistent,64490,3226344.193601,0.4129787563963405,6634.50438316018,0.6564273530779966
Greed,Inconsistent,6820,462050.027085,0.386950146627566,5461.121604105572,0.13255131964809383
Greed,Consistent,83475,4403250.556539,0.42303683737646003,4501.980352800239,0.3495777178796047
Neutral,Inconsistent,4414,50725.211509,0.2530584503851382,6381.4839261440875,0.2623470774807431
Neutral,Consistent,33272,1242195.464041,0.4160855974993989,4570.635760699687,0.5735753786968021
