sentiment_group,size_segment,trades,total_pnl,win_rate,avg_trade_size,directional_long_share
Fear,Lower size,52202,1513078.688586,0.4206352247040343,2143.317554308264,0.6250909926822728
Fear,Higher size,31035,2583187.001546,0.38640244884807473,15657.276889318511,0.5072337683260835
Greed,Lower size,66067,1838442.446909,0.4561430063420467,1551.679896620098,0.28301572645950324
Greed,Higher size,24228,3026858.136715,0.3226019481591547,12817.105149413901,0.46999339607066204
Neutral,Lower size,25984,234070.349146,0.39174107142857145,1530.330216671798,0.6152247536945813
Neutral,Higher size,11702,1058850.326404,0.4086480943428474,12004.611410869937,0.3636985130746881
