Account,trades,total_pnl,mean_pnl,win_rate,pnl_std,avg_size_usd,median_size_usd,directional_trades,directional_long_share,consistency,freq_segment,size_segment,consistency_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,1600229.819979,419.1277684596647,0.3596123624934521,4692.452328769463,16159.57673389209,1348.16,3818,0.1495547407019382,341.0220728653924,Frequent,Higher size,Consistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,47885.320514,6.5776539167582415,0.4427197802197802,134.07347277629353,1653.2263269230768,462.815,2587,0.19848901098901098,357.15730727657365,Frequent,Lower size,Consistent
0x271b280974205ca63b716753467d5a371de622ab,3809,-70436.191318,-18.49204287687057,0.3019165135206091,542.1826592941622,8893.000897873459,1116.38,3797,0.046993961669729585,-129.91229083146442,Frequent,Higher size,Inconsistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,132464.814554,9.951529904139434,0.43858462925400044,113.26935264594304,507.6269326121253,148.31,10257,0.44835098790474043,1169.46739307373,Frequent,Lower size,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,168658.004994,52.0710111126891,0.5199135535659154,255.82909123366827,3138.894782340228,958.55,3239,0.9993825254708243,659.2604624465938,Infrequent,Lower size,Consistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,-31203.599986,-38.28662574969325,0.45521472392638035,558.7787526232372,1729.9411042944785,453.96,190,0.03803680981595092,-55.842495512780125,Infrequent,Lower size,Inconsistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,14456.919335999997,4.0281190682641395,0.32766787405962666,730.495483644371,4790.5754862078575,671.27,3455,0.17609361939258847,19.79056634802974,Infrequent,Higher size,Inconsistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,53496.247243,161.13327482831323,0.4759036144578313,1279.8557881354639,3445.471265060241,1042.145,180,0.5421686746987951,41.798652425469825,Infrequent,Higher size,Inconsistent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,199505.592732,520.9023308929503,0.2349869451697128,2228.336140282739,5189.367127937337,1268.4,361,0.03655352480417755,89.53119285974782,Infrequent,Higher size,Inconsistent
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,416541.872341,336.735547567502,0.48423605497170574,1649.4975803457908,2397.824753435732,646.69,1112,0.6386418755052546,252.52651310569286,Infrequent,Lower size,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,103343.716161,12.130967972884141,0.35344524005164923,88.29284150392282,517.5289235825802,332.86,6652,0.17502054231717337,1170.4654012795418,Frequent,Lower size,Consistent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,677747.050643,155.58931373806246,0.48622589531680444,855.3540027082513,9084.699093204776,1395.1550000000002,4332,0.897842056932966,792.3585421908286,Frequent,Higher size,Consistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,308975.869716,40.740489150316456,0.3603639240506329,656.6936282172401,17098.171054852322,7755.139999999999,7562,0.734704641350211,470.5023110316947,Frequent,Higher size,Consistent
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,840422.555216,68.68441935403726,0.40119320039228507,639.4024436908079,34396.58028440667,3176.315,11257,0.7178816606734227,1314.3874620885842,Frequent,Higher size,Consistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,108731.216772,111.51919668923077,0.4317948717948718,468.9959817825797,746.7256512820513,356.27,391,0.01641025641025641,231.838269399942,Infrequent,Lower size,Inconsistent
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,429355.565915,270.0349471163522,0.34591194968553457,2525.2404372348287,7216.667245283019,1001.01,1400,0.3955974842767296,170.02561799032094,Infrequent,Higher size,Inconsistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1424,360539.510029,253.1878581664326,0.30337078651685395,1494.128004157728,2080.390077247191,524.405,1407,0.12921348314606743,241.3042985779815,Infrequent,Lower size,Inconsistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,379095.406711,38.3195599627009,0.8108763772364298,172.52077341762578,2600.7780491256444,502.93,9850,0.48539371272617005,2197.389909638959,Frequent,Lower size,Consistent
